location_project,NearestSite,project,location,Lat,Long,NR,NSR,LUF,AHM,PET,FFP,MAP,MAT,MCMT,MWMT,TrueLat
OG-ABMI-638-61-13_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-13,55.745615,-110.660644,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.745615
OG-ABMI-638-61-13_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-13,55.745615,-110.660644,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.745615
OG-ABMI-638-61-14_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-14,55.745434,-110.633943,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.745434
OG-ABMI-638-61-15_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-15,55.743312,-110.602693,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.743312
OG-ABMI-638-61-2_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-2,55.72997,-110.692316,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.72997
OG-ABMI-638-61-2_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-2,55.72997,-110.692316,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.72997
OG-ABMI-638-61-20_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-20,55.765065,-110.773661,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.765065
OG-ABMI-638-61-21_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-21,55.765149,-110.743033,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.765149
OG-ABMI-638-61-22_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-22,55.762864,-110.716686,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.762864
OG-ABMI-638-61-23_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-23,55.761409,-110.687879,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.761409
OG-ABMI-638-61-23_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-23,55.761409,-110.687879,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.761409
OG-ABMI-638-61-24_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-24,55.76011,-110.65799,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.76011
OG-ABMI-638-61-24_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-24,55.76011,-110.65799,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.76011
OG-ABMI-638-61-25_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-25,55.863372,-110.657726,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.863372
OG-ABMI-638-61-26_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-26,55.759041,-110.602263,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.759041
OG-ABMI-638-61-3_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-3,55.727957,-110.663781,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.727957
OG-ABMI-638-61-3_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-3,55.727957,-110.663781,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.727957
OG-ABMI-638-61-32_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-32,55.778204,-110.715513,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.778204
OG-ABMI-638-61-33_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-33,55.778432,-110.685265,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.778432
OG-ABMI-638-61-34_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-34,55.777049,-110.657835,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.777049
OG-ABMI-638-61-35_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-35,55.776065,-110.626905,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.776065
OG-ABMI-638-61-36_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-36,55.774719,-110.601084,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.774719
OG-ABMI-638-61-4_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-4,55.728859,-110.63385,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.728859
OG-ABMI-638-61-4_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-4,55.728859,-110.63385,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.728859
OG-ABMI-638-61-44_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-44,55.794373,-110.6854,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.794373
OG-ABMI-638-61-44_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-44,55.794373,-110.6854,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.794373
OG-ABMI-638-61-45_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-45,55.794722,-110.653763,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.794722
OG-ABMI-638-61-45_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-45,55.794722,-110.653763,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.794722
OG-ABMI-638-61-46_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-46,55.792578,-110.629515,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.792578
OG-ABMI-638-61-46_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-46,55.792578,-110.629515,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.792578
OG-ABMI-638-61-47_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-47,55.790831,-110.598401,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.790831
OG-ABMI-638-61-48_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-48,55.790526,-110.568208,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.790526
OG-ABMI-638-61-49_ABMI Northern Focal Areas 2019,639,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-49,55.789531,-110.54158,Boreal,Central Mixedwood,Lower Athabasca,21.3,517,97,461,-0.2,-20.3,16,55.789531
OG-ABMI-638-61-49_ABMI Northern Focal Areas 2020,639,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-49,55.789531,-110.54158,Boreal,Central Mixedwood,Lower Athabasca,21.3,517,97,461,-0.2,-20.3,16,55.789531
